id,conversation,labels
237,Partner: Why are you like this all the time?,criticism
208,"Partner: I only said that because you upset me.
Partner: (Silence)","defensiveness,stonewalling"
213,Partner: Maybe listen to yourself before judging me.,defensiveness
296,Partner: (Leaves the room),stonewalling
458,"Partner: You handled that conversation with my mom so well.
Partner: Thanks, I was trying really hard to be respectful.",healthy
252,Partner: You never take my feelings seriously.,criticism
489,"Partner: Can we make time to talk about our week?
Partner: Yeah, I think that would help us feel more connected.",healthy
487,"Partner: I want to understand how you're feeling.
Partner: I’ve just been really overwhelmed with work lately.",healthy
304,Partner: (Rolls eyes and says nothing),stonewalling
351,Partner: You’re impossible to talk to.,criticism
270,"Partner: (Leaves the room)
Partner: You never take my feelings seriously.","stonewalling,criticism"
202,Partner: This is just like you to screw things up.,criticism
162,"Partner: This is just like you to screw things up.
Partner: (Silence)","criticism,stonewalling"
44,Partner: Why are you like this all the time?,criticism
218,Partner: You’re impossible to talk to.,criticism
402,"Partner: I felt upset when you didn’t text back earlier.
Partner: I’m sorry. I didn’t realize it hurt you—I’ll be more thoughtful.",healthy
191,Partner: (Ignores the question entirely),stonewalling
310,Partner: You never take my feelings seriously.,criticism
260,"Partner: Wow, how smart of you. Not.",contempt
106,"Partner: (Rolls eyes and says nothing)
Partner: You're the laziest person I know.","stonewalling,contempt"
54,Partner: You always do this—you're so selfish.,criticism
390,"Partner: (Looks at phone and doesn’t respond)
Partner: You never think about anyone but me.","stonewalling,criticism"
2,Partner: (Looks at phone and doesn’t respond),stonewalling
442,"Partner: Can we make time to talk about our week?
Partner: Yeah, I think that would help us feel more connected.",healthy
483,"Partner: You handled that conversation with my mom so well.
Partner: Thanks, I was trying really hard to be respectful.",healthy
50,Partner: (Silence),stonewalling
420,"Partner: Thanks for cleaning up earlier, I really appreciated that.
Partner: Of course! I wanted to take some of the stress off you.",healthy
81,Partner: (Leaves the room),stonewalling
206,Partner: You disgust me when you act like this.,contempt
35,"Partner: Wow, how smart of you. Not.",contempt
264,"Partner: Why are you like this all the time?
Partner: (Rolls eyes and says nothing)","criticism,stonewalling"
428,"Partner: Thanks for cleaning up earlier, I really appreciated that.
Partner: Of course! I wanted to take some of the stress off you.",healthy
367,"Partner: It’s not my fault, you started it!",defensiveness
92,"Partner: Why are you blaming me again?
Partner: You’re impossible to talk to.","defensiveness,criticism"
340,"Partner: You never take my feelings seriously.
Partner: (Gets up and walks away mid-conversation)","criticism,stonewalling"
474,"Partner: I want to understand how you're feeling.
Partner: I’ve just been really overwhelmed with work lately.",healthy
53,"Partner: Whatever, I'm clearly better than you.
Partner: You never think about anyone but me.","contempt,criticism"
346,Partner: You really are such a child.,contempt
265,"Partner: (Looks at phone and doesn’t respond)
Partner: Maybe listen to yourself before judging me.","stonewalling,defensiveness"
242,Partner: Why are you blaming me again?,defensiveness
14,Partner: Why are you like this all the time?,criticism
316,"Partner: (Rolls eyes and says nothing)
Partner: You disgust me when you act like this.","stonewalling,contempt"
89,"Partner: I guess everything is always my fault.
Partner: Whatever, I'm clearly better than you.","defensiveness,contempt"
388,Partner: (Looks at phone and doesn’t respond),stonewalling
274,Partner: You're the laziest person I know.,contempt
167,Partner: You always do this—you're so selfish.,criticism
329,Partner: This is just like you to screw things up.,criticism
493,"Partner: Thanks for cleaning up earlier, I really appreciated that.
Partner: Of course! I wanted to take some of the stress off you.",healthy
135,"Partner: I only said that because you upset me.
Partner: You always do this—you're so selfish.","defensiveness,criticism"
307,Partner: Why are you like this all the time?,criticism
481,"Partner: I want to understand how you're feeling.
Partner: I’ve just been really overwhelmed with work lately.",healthy
320,"Partner: Whatever, I'm clearly better than you.
Partner: It’s not my fault, you started it!","contempt,defensiveness"
244,Partner: (Ignores the question entirely),stonewalling
55,"Partner: (Silence)
Partner: You're the laziest person I know.","stonewalling,contempt"
364,"Partner: (Silence)
Partner: I guess everything is always my fault.","stonewalling,defensiveness"
51,Partner: You never think about anyone but me.,criticism
457,"Partner: I felt upset when you didn’t text back earlier.
Partner: I’m sorry. I didn’t realize it hurt you—I’ll be more thoughtful.",healthy
175,Partner: I guess everything is always my fault.,defensiveness
446,"Partner: I felt upset when you didn’t text back earlier.
Partner: I’m sorry. I didn’t realize it hurt you—I’ll be more thoughtful.",healthy
190,"Partner: Why are you like this all the time?
Partner: Wow, how smart of you. Not.","criticism,contempt"
497,"Partner: Can we make time to talk about our week?
Partner: Yeah, I think that would help us feel more connected.",healthy
188,Partner: You're the laziest person I know.,contempt
170,Partner: I guess everything is always my fault.,defensiveness
59,Partner: You're the laziest person I know.,contempt
49,Partner: (Leaves the room),stonewalling
345,"Partner: Wow, how smart of you. Not.
Partner: (Rolls eyes and says nothing)","contempt,stonewalling"
236,"Partner: (Ignores the question entirely)
Partner: Maybe listen to yourself before judging me.","stonewalling,defensiveness"
253,Partner: (Rolls eyes and says nothing),stonewalling
22,"Partner: Wow, how smart of you. Not.",contempt
314,"Partner: It’s not my fault, you started it!
Partner: (Leaves the room)","defensiveness,stonewalling"
460,"Partner: I felt upset when you didn’t text back earlier.
Partner: I’m sorry. I didn’t realize it hurt you—I’ll be more thoughtful.",healthy
161,Partner: You never take my feelings seriously.,criticism
277,"Partner: I only said that because you upset me.
Partner: This is just like you to screw things up.","defensiveness,criticism"
444,"Partner: I want to understand how you're feeling.
Partner: I’ve just been really overwhelmed with work lately.",healthy
192,Partner: You never think about anyone but me.,criticism
386,Partner: You always do this—you're so selfish.,criticism
294,Partner: (Rolls eyes and says nothing),stonewalling
414,"Partner: I want to understand how you're feeling.
Partner: I’ve just been really overwhelmed with work lately.",healthy
344,"Partner: It’s not my fault, you started it!",defensiveness
258,"Partner: You never think about anyone but me.
Partner: (Silence)","criticism,stonewalling"
309,Partner: This is just like you to screw things up.,criticism
150,"Partner: (Silence)
Partner: This is just like you to screw things up.","stonewalling,criticism"
131,"Partner: (Leaves the room)
Partner: You misunderstood everything I said.","stonewalling,defensiveness"
152,Partner: This is just like you to screw things up.,criticism
360,Partner: I only said that because you upset me.,defensiveness
100,"Partner: (Ignores the question entirely)
Partner: It’s not my fault, you started it!","stonewalling,defensiveness"
373,Partner: (Gets up and walks away mid-conversation),stonewalling
88,Partner: You never take my feelings seriously.,criticism
459,"Partner: I want to understand how you're feeling.
Partner: I’ve just been really overwhelmed with work lately.",healthy
331,"Partner: You never think about anyone but me.
Partner: You don't even try. It's pathetic.","criticism,contempt"
215,Partner: Why are you blaming me again?,defensiveness
467,"Partner: I felt upset when you didn’t text back earlier.
Partner: I’m sorry. I didn’t realize it hurt you—I’ll be more thoughtful.",healthy
122,Partner: You’re impossible to talk to.,criticism
500,"Partner: I want to understand how you're feeling.
Partner: I’ve just been really overwhelmed with work lately.",healthy
21,Partner: Why are you blaming me again?,defensiveness
189,Partner: (Rolls eyes and says nothing),stonewalling
72,Partner: (Gets up and walks away mid-conversation),stonewalling
107,Partner: This is just like you to screw things up.,criticism
271,"Partner: Whatever, I'm clearly better than you.",contempt
349,"Partner: Wow, how smart of you. Not.",contempt
436,"Partner: You handled that conversation with my mom so well.
Partner: Thanks, I was trying really hard to be respectful.",healthy
103,Partner: You don't even try. It's pathetic.,contempt
